actor_name,movies
Daire McMahon,['Arcadian']
Bill Nighy,['The Wild Robot']
Will Davis,['Bagman']
Joaquin Phoenix,[None]
Lucas Bravo,['Freedom']
Morena Baccarin,['Deadpool & Wolverine']
Marta Hazas,['My Fault']
Cory DuVal,['Terrifier']
Mary Elizabeth Ellis,['Red One']
Jason Schwartzman,['Megalopolis']
Percy Hynes White,['My Old Ass']
Miranda Hart,['The Canterville Ghost']
Noel Gugliemi,['Cash Out']
Catherine O'Hara,"['The Wild Robot', 'Beetlejuice Beetlejuice']"
Malcolm C. Murray,['Venom']
Karel Dobrý,['The Crow']
Carter Trozzolo,['My Old Ass']
Niklas Falk,['Let Go']
Gwendolyn Collins,['Time Cut']
Peggy Lu,[None]
Willem Dafoe,['Beetlejuice Beetlejuice']
Chase Coleman,['Dominique']
Sarah McDonald,['Amityville: Where the Echo Lives']
Laura Birn,['The Crow']
Lucas Caballero,['Do Not Enter']
Soma Simon,['Alien: Romulus']
David Howard Thornton,[None]
Leon Mentori,['Let Go']
Zorion Eguileor,['The Platform 2']
Dana Gaier,['Despicable Me 4']
Olivier Ho Hio Hen,['Survive']
Moray Treadwell,"[""Don't Move""]"
Adam Hurtig,['Time Cut']
Jon Bailey,['Transformers One']
Jonathan Bailey,['Wicked']
Keala Settle,['Wicked']
Francisco Ortiz,['Apocalypse Z: The Beginning of the End']
Shia LaBeouf,['Megalopolis']
Yvan Attal,['Freedom']
Amalia Gómez,['Apocalypse Z: The Beginning of the End']
Tomas Arana,['Gladiator']
Pedro Pascal,[None]
Pedro Pascal,"['The Wild Robot', 'Gladiator II']"
Jakey Schiff,['The Canterville Ghost']
Jenna Kanell,['Terrifier']
María del Rosario,['Dominique']
Brendan Gleeson,['Joker: Folie à Deux']
Ben Miles,['Canary Black']
Henry Pettigrew,['Bagman']
Joel Gillman,['Arcadian']
Talia Shire,['Megalopolis']
Jacob Scipio,['Bad Boys: Ride or Die']
John Travolta,['Cash Out']
Chiwetel Ejiofor,['Venom: The Last Dance']
Nicholas J. Barelli,['Amityville: Where the Echo Lives']
Fran Berenguer,['My Fault']
Daiki Yamashita,"[""My Hero Academia: You're Next""]"
Pierfrancesco Favino,['The Count of Monte-Cristo']
Phong Giang,['Azrael']
Santiago Cabrera,['Beetlejuice Beetlejuice']
David Bowles,['The Crow']
Rose Matafeo,['Moana 2']
Rupert Friend,['Canary Black']
Meera Syal,['The Canterville Ghost']
Kit Connor,['The Wild Robot']
Sharon D. Clarke,['Bagman']
Emma Gojković,['Canary Black']
Ilya Vinogorsky,['Whisper of the Witch']
Corey Chainey,['Battle for the Western Front']
Russell Crowe,['Gladiator']
Steve Coogan,"['Despicable Me 4', 'Joker: Folie à Deux']"
Renars Latkovskis,['Take Cover']
Samantha Scaffidi,"['Terrifier 3', 'Terrifier', 'Terrifier 2']"
Adam Driver,['Megalopolis']
Kyle Naylor,['Battle for the Western Front']
Paola Nuñez,['Bad Boys: Ride or Die']
Aileen Wu,['Alien: Romulus']
Arthur Conti,['Beetlejuice Beetlejuice']
Aubrey Plaza,"['My Old Ass', 'Megalopolis']"
Ayane Sakura,"[""My Hero Academia: You're Next""]"
Nobuhiko Okamoto,"[""My Hero Academia: You're Next""]"
Uoken,"[""My Hero Academia: You're Next""]"
Denis Kostadinov,"[""Don't Move""]"
Sydney Sabiston,['Time Cut']
Pablo Martínez,['Do Not Enter']
Amy Poehler,['Inside Out 2']
Pedro Bachura,['The Platform 2']
Brian Tyree Henry,['Transformers One']
Giancarlo Esposito,['Megalopolis']
Maryana Spivak,['Whisper of the Witch']
Nathalie Emmanuel,['Megalopolis']
Tori Kelly,['Sing: Thriller']
Ana Cilas,['Canary Black']
Michelle Williams,[None]
Samantha Coughlan,['Arcadian']
Samantha Scaffidi,[None]
Sami Bouajila,['The Crow']
Katariina Unt,['Azrael']
Pierre Niney,['The Count of Monte-Cristo']
Justin Theroux,['Beetlejuice Beetlejuice']
Dennis Quaid,['The Substance']
Abigail Breslin,['Classified']
Josephine Bornebusch,['Let Go']
Taron Egerton,['Sing: Thriller']
Steve Carell,['Despicable Me 4']
Nick Kroll,"['Red One', 'Sing: Thriller']"
William Hope,['Bagman']
Marina Grishakova,['Whisper of the Witch']
Summer H. Howell,['Time Cut']
Garth Jennings,['Sing: Thriller']
Hugh Laurie,['The Canterville Ghost']
Woody Harrelson,[None]
Breanna Rossi,['Amityville: Where the Echo Lives']
Rhys Ifans,['Venom: The Last Dance']
Vic Carmen Sonne,['Azrael']
Léo Chalié,['Freedom']
Yuri Mykhaylychenko,['Apocalypse Z: The Beginning of the End']
Elliott Fullam,[None]
Simona Curkoska,['Amityville: Where the Echo Lives']
Dwayne Johnson,"['Red One', 'Moana 2']"
Ryan Reynolds,['Deadpool & Wolverine']
Fisher Stevens,['Sing: Thriller']
Josette Simon,['The Crow']
Harry Lawtey,['Joker: Folie à Deux']
Rob Bowen,['Venom: Let There Be Carnage']
Matt Hookings,['Classified']
Kensington Tallman,['Inside Out 2']
Antonia Gentry,['Time Cut']
Alan Tudyk,['Moana 2']
Yuki Kaji,"[""My Hero Academia: You're Next""]"
Will Smith,['Bad Boys: Ride or Die']
Olle Tikkakoski Lundström,['Let Go']
Arthur Beschastny,['Whisper of the Witch']
Olya Marynets,['Amityville: Where the Echo Lives']
Dylan Beam,"[""Don't Move""]"
Pooya Mohseni,['Terrifier']
Andy Romero,['Do Not Enter']
Lucky Ali,['Classified']
David Fane,['Moana 2']
Jordan Bolger,['The Crow']
Kathryn Hunter,['Megalopolis']
David Howard Thornton,[None]
Rea Lest,['Azrael']
Scarlett Johansson,"['Transformers One', 'Sing: Thriller']"
Wesley Kimmel,['Red One']
Bronwyn James,['Wicked']
Leigh Gill,['Joker: Folie à Deux']
Bastien Ughetto,['The Platform 2']
Lupita Nyong'o,['The Wild Robot']
Danny Huston,['The Crow']
Stephen Fry,['The Canterville Ghost']
Ken Leung,['Joker: Folie à Deux']
Clark Backo,['Venom: The Last Dance']
Myles Clohessy,['Classified']
Patrick Mille,['The Count of Monte-Cristo']
Maxwell Jenkins,['Arcadian']
Antonia Thomas,['Bagman']
Tom Hardy,[None]
Reid Scott,[None]
Bowen Yang,['Wicked']
Jeff Goldblum,['Wicked']
Laurence Fishburne,[None]
Natalia Tena,['The Platform 2']
Joy Poirel,['Sing: Thriller']
Toby Jones,['The Canterville Ghost']
Adam Daniel Mezel,['Battle for the Western Front']
Johhan Rosenberg,['Azrael']
Rafael Alfaro,['Do Not Enter']
Jacob Lofland,['Joker: Folie à Deux']
Sylvain Plasse,['Battle for the Western Front']
Robin Greer,['The Substance']
Tom Hardy,[None]
Steve Coogan,[None]
Kaito Ishikawa,"[""My Hero Academia: You're Next""]"
Dash McCloud,['Venom: The Last Dance']
Samantha Scaffidi,[None]
Oscar Lesage,['The Substance']
Joe Azzopardi,['Classified']
Grace Lu,['Inside Out 2']
Chris Renaud,['Despicable Me 4']
Michelle Greenidge,['Venom: Let There Be Carnage']
Madison Bailey,['Time Cut']
Antonia San Juan,['The Platform 2']
Ethan Slater,['Wicked']
Demi Moore,['The Substance']
Jack Parr,['Take Cover']
Rob Delaney,['Deadpool & Wolverine']
Sarah Voigt,['Terrifier 2']
Natali Yura,['Cash Out']
Hugo Diego Garcia,['The Substance']
Dwayne Johnson,[None]
Scott Haze,['Venom']
Jaeden Martell,['Arcadian']
Matt McAllister,['Terrifier']
